narwhal_id	time_start	time_end	duration	dive_phase	meets_criteria	notes
asgeir	2018-08-27 04:39:44.3	2018-08-27 04:40:48.9	0:01:05	descent	N	smooth signal, gliding descent
asgeir	2018-08-27 04:37:07.9	2018-08-27 04:37:40.3	0:00:32	descent	N	smooth signal, gliding descent
asgeir	2018-08-27 04:20:32.6	2018-08-27 04:20:39.0	0:00:06	bottom	N	
asgeir	2018-08-27 04:20:02.1	2018-08-27 04:20:26.1	0:00:24	descent	N	
asgeir	2018-08-27 03:50:01.5	2018-08-27 03:50:13.0	0:00:12	bottom	N	
asgeir	2018-08-27 03:28:33.6	2018-08-27 03:29:12.6	0:00:39	bottom	N	
asgeir	2018-08-27 03:26:30.1	2018-08-27 03:26:36.3	0:00:06	descent	N	
asgeir	2018-08-27 02:50:52.9	2018-08-27 02:51:04.4	0:00:12	bottom	N	
asgeir	2018-08-27 02:22:49.9	2018-08-27 02:22:57.8	0:00:08	bottom	N	
asgeir	2018-08-27 02:21:55.6	2018-08-27 02:22:10.3	0:00:15	bottom	N	
asgeir	2018-08-27 02:22:10.3	2018-08-27 01:50:04.9	-0:32:05	bottom	N	
asgeir	2018-08-27 01:42:09.7	2018-08-27 01:42:55.3	0:00:46	descent	N	
asgeir	2018-08-27 01:41:26.9	2018-08-27 01:42:03.1	0:00:36	descent	N	
asgeir	2018-08-27 01:30:06.8	2018-08-27 01:30:16.2	0:00:09	bottom	N	
asgeir	2018-08-27 01:28:39.2	2018-08-27 01:29:01.6	0:00:22	bottom	N	
asgeir	2018-08-27 01:25:55.8	2018-08-27 01:26:03.3	0:00:08	bottom	N	
asgeir	2018-08-27 01:17:18.1	2018-08-27 01:17:43.1	0:00:25	descent	N	
asgeir	2018-08-26 22:05:37.2	2018-08-26 22:05:50.6	0:00:13	bottom	N	doesn't add up to 1 min, but very smooth signal very close together
asgeir	2018-08-26 22:05:18.6	2018-08-26 22:05:29.5	0:00:11	bottom	N	doesn't add up to 1 min, but very smooth signal very close together
asgeir	2018-08-26 22:04:54.5	2018-08-26 22:05:17.1	0:00:23	bottom	N	doesn't add up to 1 min, but very smooth signal very close together
asgeir	2018-08-26 21:41:00.8	2018-08-26 21:41:22	0:00:21	bottom	N	
asgeir	2018-08-26 21:40:45.1	2018-08-26 21:40:52.9	0:00:08	bottom	N	
asgeir	2018-08-26 21:30:50.4	2018-08-26 21:31:07.2	0:00:17	descent	N	
asgeir	2018-08-26 20:11:14.0	2018-08-26 20:11:25.4	0:00:11	bottom	N	
asgeir	2018-08-26 20:10:44.7	2018-08-26 20:10:53.6	0:00:09	descent	N	
asgeir	2018-08-26 17:06:38.2	2018-08-26 17:06:50.5	0:00:12	descent	N	
asgeir	2018-08-26 16:59:02.4	2018-08-26 16:59:07.6	0:00:05	bottom	N	
asgeir	2018-08-26 16:58:25.1	2018-08-26 16:58:32.8	0:00:08	bottom	N	
asgeir	2018-08-26 16:43:04.2	2018-08-26 16:43:10.8	0:00:07	bottom	N	
asgeir	2018-08-26 16:39:55.4	2018-08-26 16:40:09.6	0:00:14	bottom	N	
asgeir	2018-08-26 16:33:44.7	2018-08-26 16:34:03.1	0:00:18	descent	N	
asgeir	2018-08-26 16:08:40.7	2018-08-26 16:08:51.5	0:00:11	bottom	N	
asgeir	2018-08-26 16:03:01.2	2018-08-26 16:03:24.1	0:00:23	descent	N	paired with 2 rows, long gliding descent 
asgeir	2018-08-26 16:03:24.4	2018-08-26 16:03:46.7	0:00:22	descent	N	paired with 2 rows, long gliding descent 
asgeir	2018-08-26 15:56:13.9	2018-08-26 15:56:23.3	0:00:09	bottom	Y	
asgeir	2018-08-26 15:55:11.7	2018-08-26 15:55:23.6	0:00:12	bottom	Y	
asgeir	2018-08-26 15:54:28.3	2018-08-26 15:54:36.0	0:00:08	bottom	Y	
asgeir	2018-08-26 15:51:33.3	2018-08-26 15:51:39.8	0:00:07	bottom	Y	
asgeir	2018-08-26 15:50:43.1	2018-08-26 15:50:48.4	0:00:05	bottom	Y	
asgeir	2018-08-26 15:47:43.0	2018-08-26 15:47:54.5	0:00:12	bottom	Y	
asgeir	2018-08-26 15:47:37.5	2018-08-26 15:47:41.8	0:00:04	bottom	Y	
